[10:13:38.4253][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.4559][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.4860][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.5173][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.5480][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.5787][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.6094][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.6400][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.6715][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.7022][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.7330][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.7631][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.7943][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.8257][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.8574][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.8890][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.9044][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.9365][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.9671][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:38.9832][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.0147][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.0455][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.0763][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.1077][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.1396][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.1702][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.2008][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.2324][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.2632][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.2946][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.3253][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
